Season,Week,Player,Team,Position,Injuries,Game Status
2009,3,Adrian Peterson,MIN,RB,Back,Probable
2009,4,Willie Parker,PIT,RB,Toe,Doubtful
2009,4,Earnest Graham,TAM,RB,Hamstring,Probable
2009,5,Correll Buckhalter,DEN,RB,Ankle,Out
2009,7,Brian Leonard,CIN,RB,Groin,Probable
2009,7,Marion Barber,DAL,RB,"Thigh, Thumb",Probable
2009,7,Adrian Peterson,MIN,RB,Ankle,Probable
2009,7,Rashard Mendenhall,PIT,RB,Knee,Probable
2009,8,Corey McIntyre,BUF,RB,Knee,Out
2009,9,Jason Wright,ARI,RB,Thumb,Probable
2009,9,Korey Hall,GNB,RB,Calf,Questionable
2009,10,LaDainian Tomlinson,SDG,RB,Hip,Probable
2009,11,Matt Lawrence,BAL,RB,Knee,Out
2009,11,Jeremi Johnson,CIN,RB,Chest,Probable
2009,11,Fred Taylor,NWE,RB,Ankle,Out
2009,11,Carnell Williams,TAM,RB,Knee,Probable
2009,12,Brad Hoover,CAR,RB,Ankle,Questionable
2009,12,Kolby Smith,KAN,RB,Ankle,Probable
2009,12,Steven Jackson,STL,RB,Back,Questionable
2009,15,Greg Jones,JAX,RB,Ankle,Out
2009,15,Maurice Jones-Drew,JAX,RB,Knee,Probable
2009,16,DeAngelo Williams,CAR,RB,Ankle,Doubtful
2009,16,Mike Hart,IND,RB,Ankle,Probable
2009,17,Michael Turner,ATL,RB,Ankle,Questionable
2010,1,Steve Slaton,HOU,RB,Toe,Probable
2010,1,Mike Sellers,WAS,RB,Knee,Questionable
2010,2,Jacob Hester,SDG,RB,Foot,Probable
2010,2,Clinton Portis,WAS,RB,Wrist,Questionable
2010,5,Ray Rice,BAL,RB,Knee,Probable
2010,5,Bernard Scott,CIN,RB,Hamstring,Probable
2010,5,Chris Gronkowski,DAL,RB,Groin,Questionable
2010,6,Donald Brown,IND,RB,Hamstring,Questionable
2010,6,Joseph Addai,IND,RB,Neck,Questionable
2010,7,Brian Leonard,CIN,RB,Thigh,Out
2010,7,Michael Bennett,OAK,RB,Hamstring,Questionable
2010,8,Chad Simpson,WAS,RB,Hamstring,Questionable
2010,9,Antone Smith,ATL,RB,Shoulder,Probable
2010,9,Dimitri Nance,GNB,RB,Ankle,Probable
2010,10,Clinton Portis,WAS,RB,Groin,Questionable
2010,11,Jonathan Stewart,CAR,RB,Concussion,Out
2010,11,Kevin Smith,DET,RB,Thumb,Out
2010,11,Chris Ivory,NOR,RB,Shoulder,Probable
2010,11,Earnest Graham,TAM,RB,Hamstring,Probable
