Date,Team,Acq,Rel,Notes,Acquired,Relinquished
9/3/2016,49ers,,• Aaron Lynch,placed on reserve/suspended list,#VALUE!,Aaron Lynch
9/3/2016,Bengals,,• Vontaze Burfict,placed on reserve/suspended list,#VALUE!,Vontaze Burfict
9/3/2016,Bills,,• Marcell Dareus,placed on reserve/suspended list,#VALUE!,Marcell Dareus
9/3/2016,Broncos,,• Shiloh Keo,placed on reserve/suspended list,#VALUE!,Shiloh Keo
9/3/2016,Browns,,• Armonty Bryant,placed on reserve/suspended list,#VALUE!,Armonty Bryant
9/3/2016,Browns,,• Josh Gordon,placed on reserve/suspended list,#VALUE!,Josh Gordon
9/3/2016,Chargers,,• Damion Square,placed on reserve/suspended list,#VALUE!,Damion Square
9/3/2016,Chiefs,,• Zach Sterup,placed on reserve/suspended list,#VALUE!,Zach Sterup
9/3/2016,Colts,,• Arthur Jones,placed on reserve/suspended list,#VALUE!,Arthur Jones
9/3/2016,Cowboys,,• Demarcus Lawrence,placed on reserve/suspended list,#VALUE!,Demarcus Lawrence
9/3/2016,Cowboys,,• Randy Gregory,placed on reserve/suspended list,#VALUE!,Randy Gregory
9/3/2016,Cowboys,,• Rolando McClain,placed on reserve/suspended list,#VALUE!,Rolando McClain
9/3/2016,Falcons,,• Jalen Collins,placed on reserve/suspended list,#VALUE!,Jalen Collins
9/3/2016,Giants,,• Josh Brown (Clell),placed on reserve/suspended list,#VALUE!,Josh Brown (Clell)
9/3/2016,Jaguars,,• Aaron Colvin,placed on reserve/suspended list,#VALUE!,Aaron Colvin
9/3/2016,Jets,,• Sheldon Richardson,placed on reserve/suspended list,#VALUE!,Sheldon Richardson
9/3/2016,Lions,,• Andrew Quarless,placed on reserve/suspended list,#VALUE!,Andrew Quarless
9/3/2016,Packers,,• Demetri Goodson,placed on reserve/suspended list,#VALUE!,Demetri Goodson
9/3/2016,Packers,,• Mike Pennel,placed on reserve/suspended list,#VALUE!,Mike Pennel
9/3/2016,Patriots,,• Rob Ninkovich,placed on reserve/suspended list,#VALUE!,Rob Ninkovich
9/3/2016,Patriots,,• Tom Brady,placed on reserve/suspended list,#VALUE!,Tom Brady
9/3/2016,Ravens,,• Darren Waller,placed on reserve/suspended list,#VALUE!,Darren Waller
9/3/2016,Ravens,,• Nick Boyle,placed on reserve/suspended list,#VALUE!,Nick Boyle
9/3/2016,Titans,,• Andrew Turzilli,placed on reserve/suspended list,#VALUE!,Andrew Turzilli
9/3/2016,Titans,,• Marqueston Huff,placed on reserve/suspended list,#VALUE!,Marqueston Huff
9/3/2016,Panthers,,• Chris Scott (b. 1987-08-04),suspended by NFL for 4 games,#VALUE!,Chris Scott (b. 1987-08-04)
9/3/2016,Panthers,,• Chris Scott (b. 1987-08-04),placed on reserve/suspended list,#VALUE!,Chris Scott (b. 1987-08-04)
9/9/2016,Bills,,• Seantrel Henderson,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Seantrel Henderson
9/9/2016,Bills,,• Seantrel Henderson,placed on reserve/suspended list,#VALUE!,Seantrel Henderson
9/12/2016,Giants,• Josh Brown (Clell),,reinstated from suspension,Josh Brown (Clell),#VALUE!
9/12/2016,Jaguars,• Marqueston Huff,,reinstated from suspension,Marqueston Huff,#VALUE!
9/12/2016,Jets,• Sheldon Richardson,,reinstated from suspension,Sheldon Richardson,#VALUE!
9/13/2016,,,• Rashaun Simonise,suspended by NFL,#VALUE!,Rashaun Simonise
9/15/2016,Giants,,• Nikita Whitlock,suspended by NFL for 10 games for violation of the league's performance enhancing drug policy,#VALUE!,Nikita Whitlock
9/16/2016,,,• Manny Lawson,suspended by NFL for 2 games,#VALUE!,Manny Lawson
9/19/2016,Cowboys,,• Randy Gregory,suspended by NFL for 10 games for violating the league's substance abuse policy,#VALUE!,Randy Gregory
9/19/2016,Lions,• Andrew Quarless,,reinstated from suspension,Andrew Quarless,#VALUE!
9/20/2016,,• Bernard Pierce,,reinstated from suspension,Bernard Pierce,#VALUE!
9/20/2016,,• Shiloh Keo,,reinstated from suspension,Shiloh Keo,#VALUE!
9/26/2016,Bengals,• Vontaze Burfict,,reinstated from suspension,Vontaze Burfict,#VALUE!
9/26/2016,Raiders,• Marcel Reece,,reinstated from suspension,Marcel Reece,#VALUE!
9/26/2016,Steelers,• Le'Veon Bell,,reinstated from suspension,Le'Veon Bell,#VALUE!
9/27/2016,,• Manny Lawson,,reinstated from suspension,Manny Lawson,#VALUE!
9/29/2016,Cowboys,,• Randy Gregory,placed on reserve/suspended list,#VALUE!,Randy Gregory
10/3/2016,,• Andrew Turzilli,,reinstated from suspension,Andrew Turzilli,#VALUE!
10/3/2016,,• Johnny Manziel,,reinstated from suspension,Johnny Manziel,#VALUE!
10/3/2016,,• Karlos Williams,,reinstated from suspension,Karlos Williams,#VALUE!
10/3/2016,Browns,,• Josh Gordon,suspended by NFL indefinitely,#VALUE!,Josh Gordon
10/3/2016,49ers,• Aaron Lynch,,reinstated from suspension,Aaron Lynch,#VALUE!
10/3/2016,Bills,• Marcell Dareus,,reinstated from suspension,Marcell Dareus,#VALUE!
10/3/2016,Bills,• Seantrel Henderson,,reinstated from suspension,Seantrel Henderson,#VALUE!
10/3/2016,Browns,• Armonty Bryant,,reinstated from suspension,Armonty Bryant,#VALUE!
10/3/2016,Chargers,• Damion Square,,reinstated from suspension,Damion Square,#VALUE!
10/3/2016,Chiefs,• Zach Sterup,,reinstated from suspension,Zach Sterup,#VALUE!
10/3/2016,Colts,• Arthur Jones,,reinstated from suspension,Arthur Jones,#VALUE!
10/3/2016,Cowboys,• Demarcus Lawrence,,reinstated from suspension,Demarcus Lawrence,#VALUE!
10/3/2016,Falcons,• Jalen Collins,,reinstated from suspension,Jalen Collins,#VALUE!
10/3/2016,Jaguars,• Aaron Colvin,,reinstated from suspension,Aaron Colvin,#VALUE!
10/3/2016,Panthers,• Chris Scott (b. 1987-08-04),,reinstated from suspension,Chris Scott (b. 1987-08-04),#VALUE!
10/3/2016,Patriots,• Rob Ninkovich,,reinstated from suspension,Rob Ninkovich,#VALUE!
10/3/2016,Patriots,• Tom Brady,,reinstated from suspension,Tom Brady,#VALUE!
10/3/2016,Ravens,• Darren Waller,,reinstated from suspension,Darren Waller,#VALUE!
10/10/2016,Packers,• Demetri Goodson,,reinstated from suspension,Demetri Goodson,#VALUE!
10/10/2016,Packers,• Mike Pennel,,reinstated from suspension,Mike Pennel,#VALUE!
10/11/2016,,• Rashaun Simonise,,reinstated from suspension,Rashaun Simonise,#VALUE!
10/11/2016,Eagles,,• Lane Johnson,suspended by NFL for 10 games for violation of the league's performance enhancing drug policy,#VALUE!,Lane Johnson
10/11/2016,Eagles,,• Lane Johnson,placed on reserve/suspended list,#VALUE!,Lane Johnson
10/14/2016,,,• Derrick Coleman,suspended by NFL for 4 games,#VALUE!,Derrick Coleman
10/19/2016,Bengals,,• Vontaze Burfict,"fined $75,000 by NFL",#VALUE!,Vontaze Burfict
10/21/2016,,,• Jack Gangwish,suspended by NFL,#VALUE!,Jack Gangwish
10/25/2016,,,• Stephen Hill,suspended by NFL for 2 games,#VALUE!,Stephen Hill
10/28/2016,,,• J.J. Worton,suspended by NFL for 6 games,#VALUE!,J.J. Worton
11/1/2016,Lions,,• Armonty Bryant,suspended by NFL for 3 games for violating the league's substance abuse policy,#VALUE!,Armonty Bryant
11/1/2016,Redskins,,• Trent Williams,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Trent Williams
11/1/2016,Lions,,• Armonty Bryant,placed on reserve/suspended list,#VALUE!,Armonty Bryant
11/1/2016,Redskins,,• Trent Williams,placed on reserve/suspended list,#VALUE!,Trent Williams
11/2/2016,,• Taylor Mays,,reinstated from suspension,Taylor Mays,#VALUE!
11/3/2016,49ers,,• Kaleb Ramsey,suspended by NFL for 10 games,#VALUE!,Kaleb Ramsey
11/3/2016,49ers,,• Kaleb Ramsey,placed on reserve/suspended list,#VALUE!,Kaleb Ramsey
11/8/2016,,• Stephen Hill,,reinstated from suspension,Stephen Hill,#VALUE!
11/14/2016,Bears,,• Alshon Jeffery,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Alshon Jeffery
11/14/2016,Bears,,• Alshon Jeffery,placed on reserve/suspended list,#VALUE!,Alshon Jeffery
11/15/2016,,• Jack Gangwish,,reinsated from suspension,Jack Gangwish,#VALUE!
11/21/2016,Cowboys,• Rolando McClain,,reinstated from suspension,Rolando McClain,#VALUE!
11/21/2016,Bears,,• Jerrell Freeman,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Jerrell Freeman
11/21/2016,Dolphins,,• Jason Jones (Duane),suspended by NFL for 2 games for violating the league's substance abuse policy,#VALUE!,Jason Jones (Duane)
11/21/2016,Ravens,• Nick Boyle,,reinstated from suspension,Nick Boyle,#VALUE!
11/21/2016,Bears,,• Jerrell Freeman,placed on reserve/suspended list,#VALUE!,Jerrell Freeman
11/21/2016,Dolphins,,• Jason Jones (Duane),placed on reserve/suspended list,#VALUE!,Jason Jones (Duane)
11/22/2016,Buccaneers,,• Jude Adjei-Barimah,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Jude Adjei-Barimah
11/22/2016,Buccaneers,,• Jude Adjei-Barimah,placed on reserve/suspended list,#VALUE!,Jude Adjei-Barimah
11/23/2016,Steelers,,• Karlos Williams,suspended by NFL for 10 games for violating the league's substance abuse policy,#VALUE!,Karlos Williams
11/25/2016,Lions,• Armonty Bryant,,reinstated from suspension,Armonty Bryant,#VALUE!
11/28/2016,,,• Mike Neal,suspended by NFL for 2 games,#VALUE!,Mike Neal
11/28/2016,Giants,• Nikita Whitlock,,reinsated from suspension,Nikita Whitlock,#VALUE!
11/29/2016,,,• Sammie Hill / Sammie Lee Hill,suspended by NFL indefinitely,#VALUE!,Sammie Hill / Sammie Lee Hill
11/29/2016,Bills,,• Seantrel Henderson,suspended by NFL for 10 games for violating the league's substance abuse policy,#VALUE!,Seantrel Henderson
11/29/2016,Bills,,• Seantrel Henderson,placed on reserve/suspended list,#VALUE!,Seantrel Henderson
11/30/2016,Lions,• Armonty Bryant,,reinstated from suspension,Armonty Bryant,#VALUE!
12/2/2016,Cowboys,,• Rolando McClain,suspended by NFL indefinitely for violating the league's substance abuse policy,#VALUE!,Rolando McClain
12/5/2016,Redskins,• Trent Williams,,reinstated from suspension,Trent Williams,#VALUE!
12/5/2016,Dolphins,• Jason Jones (Duane),,reinstated from suspension,Jason Jones (Duane),#VALUE!
12/6/2016,Colts,,• D'Qwell Jackson,suspended by NFL for 4 games,#VALUE!,D'Qwell Jackson
12/6/2016,Packers,,• Mike Pennel,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Mike Pennel
12/6/2016,Colts,,• D'Qwell Jackson,placed on reserve/suspended list,#VALUE!,D'Qwell Jackson
12/6/2016,Packers,,• Mike Pennel,placed on reserve/suspended list,#VALUE!,Mike Pennel
12/9/2016,Giants,,• Odell Beckham Jr.,"fined $12,154 by NFL for verbal abuse/excessive profanity toward an official following game",#VALUE!,Odell Beckham Jr.
12/9/2016,Jets,,• Breno Giacomini,"fined $9,115 by NFL for unnecessary roughness during game",#VALUE!,Breno Giacomini
12/9/2016,Jets,,• Buster Skrine,"fined $9,115 by NFL for unnecessary roughness during game",#VALUE!,Buster Skrine
12/9/2016,Jets,,• Sheldon Richardson,"fined $9,115 by NFL for unnecessary roughness during game",#VALUE!,Sheldon Richardson
12/9/2016,Raiders,,• Marquette King,"fined $12,154 by NFL for picking up an official’s flag and using it as a prop",#VALUE!,Marquette King
12/9/2016,Raiders,,• Michael Crabtree,"fined $12,154 by NFL for taunting during game",#VALUE!,Michael Crabtree
12/9/2016,Browns,,• Jordan Payton,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Jordan Payton
12/9/2016,Saints,,• Kenny Vaccaro,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Kenny Vaccaro
12/9/2016,Browns,,• Jordan Payton,placed on reserve/suspended list,#VALUE!,Jordan Payton
12/9/2016,Saints,,• Kenny Vaccaro,placed on reserve/suspended list,#VALUE!,Kenny Vaccaro
12/10/2016,Redskins,• Trent Williams,,reinstated from suspended list,Trent Williams,#VALUE!
12/12/2016,Bears,• Alshon Jeffery,,reinstated from suspension,Alshon Jeffery,#VALUE!
12/12/2016,Chargers,,• Tenny Palepoi,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Tenny Palepoi
12/12/2016,Chargers,,• Tenny Palepoi,placed on reserve/suspended list,#VALUE!,Tenny Palepoi
12/15/2016,Browns,,• Alvin Bailey (b),suspended by NFL for 2 games for violating the league's substance abuse policy,#VALUE!,Alvin Bailey (b)
12/15/2016,Browns,,• Alvin Bailey (b),placed on reserve/suspended list,#VALUE!,Alvin Bailey (b)
12/19/2016,Bears,• Jerrell Freeman,,reinstated from suspension,Jerrell Freeman,#VALUE!
12/19/2016,Buccaneers,• Jude Adjei-Barimah,,reinstated from suspension,Jude Adjei-Barimah,#VALUE!
12/19/2016,Cowboys,• Randy Gregory,,reinstated from suspension,Randy Gregory,#VALUE!
12/19/2016,Eagles,• Lane Johnson,,reinstated from suspension,Lane Johnson,#VALUE!
12/26/2016,Browns,• Alvin Bailey (b),,reinstated from suspension,Alvin Bailey (b),#VALUE!
12/27/2016,Redskins,• Silas Redd,,reinstated from suspension,Silas Redd,#VALUE!
12/29/2016,Buccaneers,,• Doug Martin,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Doug Martin
1/2/2017,49ers,• Kaleb Ramsey,,reinstated from suspension,Kaleb Ramsey,#VALUE!
1/2/2017,Bills,• Seantrel Henderson,,reinstated from suspension,Seantrel Henderson,#VALUE!
1/2/2017,Browns,• Jordan Payton,,reinstated from suspension,Jordan Payton,#VALUE!
1/2/2017,Buccaneers,• Doug Martin (Matthewbaran),,reinstated from suspension,Doug Martin (Matthewbaran),#VALUE!
1/2/2017,Chargers,• Tenny Palepoi,,reinstated from suspension,Tenny Palepoi,#VALUE!
1/2/2017,Colts,• D'Qwell Jackson,,reinstated from suspension,D'Qwell Jackson,#VALUE!
1/2/2017,Saints,• Kenny Vaccaro,,reinstated from suspension,Kenny Vaccaro,#VALUE!
1/2/2017,Packers,• Mike Pennel,,reinstated from suspension,Mike Pennel,#VALUE!
1/5/2017,Cowboys,,• Randy Gregory,suspended by NFL for at least 1 year for violating the league's substance abuse policy,#VALUE!,Randy Gregory
1/21/2017,,,• J'Marcus Webb,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,J'Marcus Webb
1/23/2017,,• Karlos Williams,,reinstated from suspension,Karlos Williams,#VALUE!
3/5/2017,Redskins,,• Trent Murphy,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Trent Murphy
3/6/2017,Browns,,• Josh Gordon,suspended by NFL at least one year,#VALUE!,Josh Gordon
3/7/2017,Jets,,• Jalin Marshall,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Jalin Marshall
3/7/2017,Packers,,• Letroy Guion,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Letroy Guion
3/9/2017,Ravens,,• Kenneth Dixon,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Kenneth Dixon
3/15/2017,Jets,,• Austin Seferian-Jenkins,suspended by NFL for 2 games for violating the league's substance abuse policy,#VALUE!,Austin Seferian-Jenkins
3/29/2017,,,• T.J. McDonald,suspended by NFL for 8 games for violating the NFL substance abuse policy,#VALUE!,T.J. McDonald
4/14/2017,Jets,,• Nick Marshall,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Nick Marshall
4/21/2017,Cowboys,,• Shaquelle Evans / Shaq Evans,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Shaquelle Evans / Shaq Evans
4/22/2017,,,• Brandon Bostick,suspended by NFL for 4 games,#VALUE!,Brandon Bostick
4/25/2017,Cardinals,• Daryl Washington,,reinstated from suspension,Daryl Washington,#VALUE!
4/25/2017,Steelers,• Martavis Bryant,,reinstated from suspension,Martavis Bryant,#VALUE!
5/1/2017,Rams,,• Troy Hill (b. 1991-08-29),suspended by NFL for 2 games for violating the league's substance abuse policy (DUI),#VALUE!,Troy Hill (b. 1991-08-29)
5/4/2017,Texans,,• Max Bullough,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Max Bullough
5/23/2017,Cowboys,,• David Irving,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,David Irving
5/25/2017,,,• Justin Gilbert,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Justin Gilbert
6/1/2017,,,• James Ihedigbo,suspended by NFL for 4 games for undisclosed violation,#VALUE!,James Ihedigbo
6/8/2017,Bills,,• Walter Powell / Walt Powell,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Walter Powell / Walt Powell
6/20/2017,,,• Justin Gilbert,suspended by NFL for 1 year,#VALUE!,Justin Gilbert
6/20/2017,Lions,,• Khyri Thornton,suspended by NFL for 6 games for violating the league's substance abuse policy,#VALUE!,Khyri Thornton
6/28/2017,,,• Karlos Williams,suspended by NFL for at least 1 year,#VALUE!,Karlos Williams
6/28/2017,Cowboys,,• David Irving,suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,David Irving
6/30/2017,Ravens,,• Darren Waller,suspended by NFL for at least 1 year for violation of the league's performance enhancing drug policy,#VALUE!,Darren Waller
7/14/2017,Rams,,• Mike Thomas (Davonta),suspended by NFL for 4 games for violation of the league's performance enhancing drug policy,#VALUE!,Mike Thomas (Davonta)
7/14/2017,Vikings,,• Michael Floyd,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Michael Floyd
7/18/2017,Lions,,• Armonty Bryant,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Armonty Bryant
7/19/2017,Packers,,• Geronimo Allison,suspended by NFL for 1 games for violating the league's substance abuse policy,#VALUE!,Geronimo Allison
7/21/2017,Bengals,,• Adam Jones / Pacman Jones,suspended by NFL for 1 games for violating the league's personal conduct policy,#VALUE!,Adam Jones / Pacman Jones
7/28/2017,Cowboys,,• Damontre Moore,suspended by NFL for 2 games for violating the league's substance abuse policy (DUI),#VALUE!,Damontre Moore
8/6/2017,Falcons,,• Jalen Collins,suspended by NFL for 10 games for violation of the league's performance enhancing drug policy,#VALUE!,Jalen Collins
8/11/2017,Cowboys,,• Ezekiel Elliott,suspended by NFL for 6 games for violating the league's personal conduct policy,#VALUE!,Ezekiel Elliott
